,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Area
2182,Bajha Patan,Pokhara,1000000,0,0,0.00,0,East,547.99
2183,Chauthe,Pokhara,900000,0,0,0.00,0,East,176.77
2184,Sitapaila,Kathmandu,18000000,4,2,0.00,2,South,3.50
2185,Hattiban,Lalitpur,23000000,7,3,0.00,2,North East,5.62
2186,Dhapasi,Kathmandu,35000000,0,0,0.00,0,East,11.00
2187,Baluwatar,Kathmandu,35000000,11,6,0.00,2,East,7.00
2188,Baneshwor,Kathmandu,45000000,6,4,0.00,0,East,4.00
2189,Sitapaila,Kathmandu,29500000,4,3,0.00,2,West,0.00
2190,Bhaisepati,Lalitpur,21000000,10,5,0.00,2,North East,4.50
2191,Bhaisepati,Lalitpur,28000000,12,5,0.00,1,North,4.50
2192,Lazimpat,Kathmandu,200000,4,5,0.00,2,North East,10.52
2193,Jamal,Kathmandu,170000000,0,0,0.00,0,West,7.00
2194,CHABAHIL,Kathmandu,3600000,0,0,0.00,0,North,32.00
2195,sitapaila,Kathmandu,11700000,0,0,0.00,0,East,3.31
2196,Pepsicola Town Planning,Kathmandu,4000000,0,0,0.00,0,East,6.00
2197,Pepsicola Town Planning,Kathmandu,4000000,0,0,0.00,0,South West,4.62
2198,Pepsicola,Kathmandu,11000000,3,2,6.00,1,North West,3.90
2199,gothatar kadaghari,Kathmandu,2500000,0,0,0.00,0,North,4.62
2200,Maitidevi,Kathmandu,32500000,0,0,5.00,0,East,3.00
2201,Sumnima Marg,Lalitpur,140000000,5,4,4.00,7,East,32.00
2202,Buddha Colony,Kathmandu,105000000,4,5,3.00,7,South West,32.00
2203,Machhegaun,Kirtipur,59000000,5,2,2.00,7,South,48.00
2204,Kupondole,Lalitpur,6500000,4,3,3.00,5,North,30.00
2205,Deuba Chowk,Kathmandu,2700000,0,0,0.00,0,North,112.50
2206,Bhangal,Kathmandu,500000,5,5,3.00,5,North East,16.00
2207,Nagarjun,Kathmandu,12000000,4,2,2.00,1,North East,2.50
2208,Deuja Chowk,Kathmandu,27000000,5,3,2.00,1,East,8.00
2209,Bhimsengola,Kathmandu,300000,9,3,2.00,4,North,51.00
2210,Gocha marg,Kathmandu,72500000,5,2,3.00,5,East,13.00
